,base,cloudiness,cod,latitude,longitude,dt,id,main.grnd_level,humidity,main.pressure,main.sea_level,temperature,main.temp_max,main.temp_min,message,name,rain.1h,rain.3h,sys.country,sys.id,sys.message,sys.sunrise,sys.sunset,sys.type,timezone,visibility,weather,wind.deg,wind.gust,windspeed
0,stations,0.0,200,-33.21,138.6,1562640026.0,2069194.0,983.98,59.0,1020.83,1020.83,287.133,287.133,287.133,,Jamestown,,,AU,,0.0072,1562622527.0,1562658733.0,,34200.0,,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",292.562,,3.88
1,stations,24.0,200,18.62,-100.35,1562640118.0,3981460.0,949.3,72.0,1014.87,1014.87,297.703,297.703,297.703,,Coahuayana,,,MX,,0.0078,1562587822.0,1562635328.0,,-18000.0,,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",67.659,,1.44
2,,,404,,,,,,,,,,,,city not found,,,,,,,,,,,,,,,
3,stations,0.0,200,-21.21,-159.78,1562640113.0,4035715.0,,78.0,1014.0,,298.15,298.15,298.15,,Avarua,,,CK,7271.0,0.007,1562606221.0,1562645458.0,1.0,-36000.0,10000.0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",50.0,,2.1
4,stations,100.0,200,-46.19,168.86,1562640011.0,6201424.0,,77.0,1006.0,,283.15,283.15,283.15,,Mataura,,0.375,NZ,2008959.0,0.008,1562617546.0,1562649188.0,3.0,43200.0,,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",240.0,9.83,4.92
5,stations,30.0,200,60.75,-137.51,1562640118.0,5969025.0,884.74,35.0,1013.47,1013.47,293.173,293.173,293.173,,Haines Junction,,,CA,,0.007,1562586801.0,1562654188.0,,-25200.0,,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",335.809,,2.37
6,stations,75.0,200,17.01,54.1,1562639932.0,286621.0,,83.0,1001.0,,301.15,301.15,301.15,,Salalah,,,OM,7562.0,0.0069,1562637345.0,1562684479.0,1.0,14400.0,10000.0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",180.0,,2.1
7,stations,75.0,200,34.64,-120.46,1562640044.0,5367788.0,,77.0,1017.0,,290.33,292.04,288.15,,Lompoc,,,US,4747.0,0.0082,1562590543.0,1562642261.0,1.0,-25200.0,16093.0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",290.0,,5.1
8,stations,38.0,200,-39.94,176.59,1562640119.0,2185329.0,,77.0,1008.0,,284.26,284.26,284.26,,Waipawa,,,NZ,2010964.0,0.0074,1562614471.0,1562648552.0,3.0,43200.0,,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",225.0,4.92,3.13
9,stations,75.0,200,41.96,42.96,1562640118.0,610864.0,,94.0,1010.0,,295.15,295.15,295.15,,Khani,,,GE,8856.0,0.0058,1562636450.0,1562690722.0,1.0,14400.0,10000.0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",340.0,,1.0
10,stations,0.0,200,-54.81,-68.31,1562639804.0,3833367.0,,86.0,1012.0,,276.15,276.15,276.15,,Ushuaia,,,AR,8303.0,0.008,1562590454.0,1562617315.0,1.0,-10800.0,10000.0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",340.0,,3.1
11,stations,0.0,200,-34.42,19.24,1562640018.0,3366880.0,,92.0,1025.0,,284.82,284.82,284.82,,Hermanus,,,ZA,2003650.0,0.0056,1562651345.0,1562687214.0,3.0,7200.0,,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",16.0,2.24,0.89
12,stations,20.0,200,-42.88,147.33,1562639743.0,2163355.0,,54.0,1010.0,,285.63,286.15,284.82,,Hobart,,,AU,9545.0,0.0074,1562622030.0,1562655040.0,1.0,36000.0,10000.0,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",300.0,,8.7
13,stations,100.0,200,26.24,84.15,1562640121.0,1264282.0,987.26,90.0,995.59,995.59,299.063,299.063,299.063,,Mairwa,,15.938,IN,,0.0066,1562629037.0,1562678361.0,,19800.0,,"[{'id': 502, 'main': 'Rain', 'description': 'heavy intensity rain', 'icon': '10d'}]",86.596,,8.71
14,stations,20.0,200,-42.78,147.06,1562640121.0,2155415.0,,54.0,1010.0,,285.86,286.48,284.82,,New Norfolk,,,AU,9545.0,0.0072,1562622075.0,1562655124.0,1.0,36000.0,10000.0,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",300.0,,8.7
15,stations,100.0,200,-33.69,-53.46,1562640121.0,3443061.0,1023.05,73.0,1024.21,1024.21,282.003,282.003,282.003,,Chuy,,,UY,,0.0074,1562582297.0,1562618344.0,,-10800.0,,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",10.513,,3.13
16,stations,0.0,200,54.92,83.08,1562640121.0,1496747.0,,73.0,1005.0,,294.15,294.15,294.15,,Matveyevka,,,RU,8958.0,0.0062,1562623253.0,1562684660.0,1.0,25200.0,10000.0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",170.0,,3.0
17,stations,20.0,200,42.65,-73.75,1562640122.0,5106834.0,,56.0,1015.0,,289.96,294.26,285.93,,Albany,,,US,3273.0,0.0104,1562577893.0,1562632488.0,1.0,-14400.0,16093.0,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",190.0,,2.1
18,stations,100.0,200,50.68,156.12,1562640099.0,2121385.0,1011.21,96.0,1010.52,1010.52,278.803,278.803,278.803,,Severo-Kurilsk,,0.125,RU,,0.0073,1562607160.0,1562665690.0,,39600.0,,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",110.189,,4.73
19,stations,8.0,200,-4.85,21.56,1562640122.0,207596.0,952.87,65.0,1012.5,1012.5,291.293,291.293,291.293,,Mweka,,,CD,,0.009,1562647387.0,1562690058.0,,7200.0,,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",213.242,,0.67
20,stations,100.0,200,-46.13,167.69,1562640122.0,2180815.0,,77.0,1006.0,,283.15,283.15,283.15,,Tuatapere,,0.25,NZ,2008959.0,0.0086,1562617813.0,1562649482.0,3.0,43200.0,,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",240.0,9.83,4.92
21,stations,75.0,200,3.17,113.03,1562640123.0,1737486.0,,74.0,1012.0,,303.15,303.15,303.15,,Bintulu,,,MY,9365.0,0.0088,1562624637.0,1562668898.0,1.0,28800.0,10000.0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",,,2.1
